unique_carrier,total_records,observed_arrivals,delayed_arrivals,missing_arrivals,delay_percent_observed,delay_percent_all_records_legacy
AA,18753,18418,9841,335,53.431426,52.476937
AS,5631,5596,2104,35,37.598284,37.364589
B6,9233,9149,4401,84,48.103618,47.665981
DL,27522,27432,9803,90,35.735637,35.618778
EV,21967,21056,11371,911,54.003609,51.764010
F9,2951,2901,1848,50,63.702172,62.622840
HA,2705,2691,1354,14,50.315868,50.055453
MQ,12752,11275,8060,1477,71.485588,63.205772
NK,3683,3640,2133,43,58.598901,57.914743
OO,20781,19834,10804,947,54.472119,51.989798
UA,16509,16334,8624,175,52.797845,52.238173
US,14203,13972,6353,231,45.469510,44.729987
VX,2035,2029,781,6,38.491868,38.378378
WN,42939,42020,21150,919,50.333175,49.255921
